,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
75,db8465,Li4Fe3S2O3,0.10036536437499954,Li2FeSO+FeO,0.078095477291666,FeO+Li2S,9223b886-c943-4c34-aa0b-f519450622a5,pbe,-5.308729644166667
76,012b6e,Li4Fe3S2O3,0.10436829937500036,Li2FeSO+FeO,0.08209841229166681,FeO+Li2S,b314d2df-9cae-4c8f-8a59-bccbdada62a1,pbe,-5.304726709166666
77,99b504,Li4Fe3S2O3,0.10538727520833291,Li2FeSO+FeO,0.08311738812499936,FeO+Li2S,49fa901d-2328-4bfd-a898-d88c049bcfa8,pbe,-5.303707733333334
78,ac549d,Li5FeSO3,0.059794937187499286,Li5FeO4+LiFeO2+Li2S,0.059794937187499286,Li5FeO4+LiFeO2+Li2S,e3c84f97-5e31-4d86-89cc-01e2daebe7ea,pbe,-5.0643985
79,ac6021,Li5FeSO3,0.059806686187499736,Li5FeO4+LiFeO2+Li2S,0.059806686187499736,Li5FeO4+LiFeO2+Li2S,51306f78-4d33-40e5-8345-be912d25ab73,pbe,-5.064386751
80,075a39,Li5FeSO3,0.06022405018749932,Li5FeO4+LiFeO2+Li2S,0.06022405018749932,Li5FeO4+LiFeO2+Li2S,88979bbe-037e-4748-8656-1fe5156a09ac,pbe,-5.063969387
81,0d297e,Li5FeSO3,0.061007161187499825,Li5FeO4+LiFeO2+Li2S,0.061007161187499825,Li5FeO4+LiFeO2+Li2S,aacbdf29-b28d-45a4-b314-7592bc08a24d,pbe,-5.063186276
82,24a365,Li5FeSO3,0.06335197818749894,Li5FeO4+LiFeO2+Li2S,0.06335197818749894,Li5FeO4+LiFeO2+Li2S,8492ffe1-6617-418b-8ae5-f158429a5aac,pbe,-5.060841459000001
83,5e3dbf,Li2Fe2SO2,0.06086080321428522,Li2FeSO+FeO,0.04177232857142865,FeO+Li2S,4b75a0e6-16be-4fc0-a342-46d84faf5363,pbe,-5.543360702142857
84,062242,Li2Fe2SO2,0.06627459249999834,Li2FeSO+FeO,0.047186117857141774,FeO+Li2S,b66f3488-62b1-4c13-bdbc-4280243f58a2,pbe,-5.5379469128571435
