,resid,formula,e_above_hull,decomp,e_above_hull_known,decomp_known,structure_uuid,functional,e_pa,relax_uuid,original_uuid,relax_label,relax_structure_uuid
37,a1640f,Li4Fe3S3O2,0.038991297916667556,Li2FeSO+Li2Fe4S3O2+Li2S,0.01179956715277708,FeO+FeS+Li2S,a21ddc42-a30c-4b25-bf41-801f04fa3cd0,pbe,-5.1481173025,006c6c12-544b-4985-a929-cdcbd7527f20,a21ddc42-a30c-4b25-bf41-801f04fa3cd0,LFSO-Li4Fe3S3O2-200926-134133-a1640f RELAX U=4.0,c8c952ce-9fcb-4af6-a2bd-b54a920e1e9d
38,e253e8,Li4Fe3S3O2,0.061445582916667796,Li2FeSO+Li2Fe4S3O2+Li2S,0.03425385215277732,FeO+FeS+Li2S,0519bbb9-0c44-4781-a1fa-2fa805d71d03,pbe,-5.1256630175,7b7eea03-10d5-436e-af41-e0a654e5415e,0519bbb9-0c44-4781-a1fa-2fa805d71d03,LFSO-Li4Fe3S3O2-200927-093430-e253e8 RELAX U=4.0,5336ec17-cbf1-47b7-b39a-f192cb777443
39,9507c1,Li4Fe3S3O2,0.07656605625000079,Li2FeSO+Li2Fe4S3O2+Li2S,0.049374325486110315,FeO+FeS+Li2S,26a80351-4f00-4363-a5d0-7320c5a132d1,pbe,-5.110542544166667,ec20ad07-cfc1-4493-a704-9b91d1496e76,26a80351-4f00-4363-a5d0-7320c5a132d1,LFSO-Li4Fe3S3O2-201029-184058-9507c1 RELAX U=4.0,71f7e879-5bd8-4b86-ae96-ce7eba68bdf8
40,7d9406,Li4Fe3S4O,0.030539048402778768,Li2Fe4S3O2+FeS+Li2S,0.014482261180555511,FeO+FeS+Li2S,b397ec0f-6f8f-4c66-8802-18e547e9d95a,pbe,-4.918526356666667,b3d38d45-96e2-4968-b423-738c50f428c5,b397ec0f-6f8f-4c66-8802-18e547e9d95a,LFSO-Li4Fe3S4O-200925-201817-7d9406 RELAX U=4.0,eee8c3a9-65ae-452d-a026-26156dac80f5
41,35cd93,Li4Fe3S4O,0.0394736025694451,Li2Fe4S3O2+FeS+Li2S,0.023416815347221842,FeO+FeS+Li2S,0c397fa6-26ae-410c-b0a9-5251eb4efa49,pbe,-4.9095918025000005,44a9e5db-409e-4d3e-8180-1154f2b40eb6,0c397fa6-26ae-410c-b0a9-5251eb4efa49,LFSO-Li4Fe3S4O-201029-153615-35cd93 RELAX U=4.0,84640abf-5bda-4fe9-ad74-9388d089bcca
42,7ac087,Li4Fe3S4O,0.04401872840277843,Li2Fe4S3O2+FeS+Li2S,0.027961941180555172,FeO+FeS+Li2S,1e1062a4-5f9a-44ef-9bb2-b625ad6fbf90,pbe,-4.905046676666667,99f7eec6-2e0e-482e-b879-2909fa4423b8,1e1062a4-5f9a-44ef-9bb2-b625ad6fbf90,LFSO-Li4Fe3S4O-201028-203102-7ac087 RELAX U=4.0,91e82b81-dceb-4d6e-9443-d25e4bb873ee
43,83a300,Li4Fe3S4O,0.04931487840277882,Li2Fe4S3O2+FeS+Li2S,0.03325809118055556,FeO+FeS+Li2S,438289ec-e631-4442-8576-8504cd8e1640,pbe,-4.899750526666667,58d97936-5994-4b7d-8c2b-befa8ba4c4a8,438289ec-e631-4442-8576-8504cd8e1640,LFSO-Li4Fe3S4O-201029-144458-83a300 RELAX U=4.0,f1f8da58-b037-4a67-a7ad-fa7991f3082e
44,7a8411,Li4Fe3S4O,0.05113408090277893,Li2Fe4S3O2+FeS+Li2S,0.03507729368055568,FeO+FeS+Li2S,6d795d27-021d-485d-8123-16b574894ef4,pbe,-4.897931324166667,a2794c47-b3ed-43b1-b44c-66a8b32f4c65,6d795d27-021d-485d-8123-16b574894ef4,LFSO-Li4Fe3S4O-200925-215320-7a8411 RELAX U=4.0,a31c0b1e-c34e-431b-ae0a-db30d5140175
45,cc74e4,Li5Fe(SO)2,0.04863786125000047,LiFeO2+Li2S,0.04863786124999958,LiFeO2+Li2S,8baf56d8-41f7-44ef-91b9-32493c5d3721,pbe,-4.82201963,d0cd6261-0ac1-4afb-addb-69e6c0d51be9,8baf56d8-41f7-44ef-91b9-32493c5d3721,LFSO-Li5FeS2O2-201026-013822-cc74e4 RELAX U=4.0,8ff2d739-11cf-4da5-b0a2-a73aca1afe67
46,491c09,Li5Fe(SO)2,0.052725641750000385,LiFeO2+Li2S,0.0527256417499995,LiFeO2+Li2S,871cef8a-60f9-4b34-872e-9d49b85f498b,pbe,-4.8179318495,25a4ccef-80d5-4654-892c-8e24c9e87641,871cef8a-60f9-4b34-872e-9d49b85f498b,LFSO-Li5FeS2O2-201026-014457-491c09 RELAX U=4.0,597b7ef0-eef8-472f-aeed-70ae7ad9cf8e
47,95f238,Li5Fe(SO)2,0.052734297750000714,LiFeO2+Li2S,0.052734297749999826,LiFeO2+Li2S,fff92c92-6157-411d-8479-9abb9179ff25,pbe,-4.8179231934999995,ee0a8bc3-371a-4910-8ff8-9b14ec5f78e3,fff92c92-6157-411d-8479-9abb9179ff25,LFSO-Li5FeS2O2-200920-231624-95f238 RELAX U=4.0,98add2c0-c485-45a7-8b47-00bdabf65e61
48,a041c4,Li5Fe(SO)2,0.05398646974999988,LiFeO2+Li2S,0.05398646974999899,LiFeO2+Li2S,ec1e8a4e-a159-43b0-8a42-68810ee47d14,pbe,-4.8166710215,d6029655-5206-4ea2-bda5-37d3104db8da,ec1e8a4e-a159-43b0-8a42-68810ee47d14,LFSO-Li5FeS2O2-200920-235017-a041c4 RELAX U=4.0,f0d24866-dcec-4427-a4ec-5e5f177d1b97
49,9667c9,Li5Fe(SO)2,0.07778132425000006,LiFeO2+Li2S,0.07778132424999917,LiFeO2+Li2S,06659b01-5815-4536-a43b-581e01d7c803,pbe,-4.792876167,c992db1f-8cc7-43b9-ac2d-41b66f221213,06659b01-5815-4536-a43b-581e01d7c803,LFSO-Li5FeS2O2-200921-002345-9667c9 RELAX U=4.0,4d8c537f-026c-4c08-82d7-b152b73aba12
50,6de01a,Li6FeS3O,0.04986198727272306,Li2FeSO+Li2S,0.037714776136363426,FeO+Li2S,65901b25-bb03-40c5-a3cf-29138fce269c,pbe,-4.465738749545455,813707ce-2a83-4ee7-9444-d2e0b74ec9fe,65901b25-bb03-40c5-a3cf-29138fce269c,LFSO-Li6FeS3O-200910-015546-6de01a RELAX U=4.0,3093aabc-db3f-4ec9-a0f8-0b422e65b7ab
51,25c66f,Li6FeS3O,0.05016209136363248,Li2FeSO+Li2S,0.03801488022727284,FeO+Li2S,2cd2a755-7f19-44bb-8b47-68326dde1a52,pbe,-4.465438645454546,a941ea87-e347-4fe0-8217-ac9ce81ecffb,2cd2a755-7f19-44bb-8b47-68326dde1a52,LFSO-Li6FeS3O-200910-023708-25c66f RELAX U=4.0,71d4539a-e008-4252-b1d7-76430b5fbeb8
52,97e81c,Li6FeS3O,0.06064266590908751,Li2FeSO+Li2S,0.048495454772727875,FeO+Li2S,409d6d1b-a0c2-4dd8-9939-10da1dc553a0,pbe,-4.454958070909091,384b67ae-2aba-4b15-8558-39838f6033cc,409d6d1b-a0c2-4dd8-9939-10da1dc553a0,LFSO-Li6FeS3O-201027-141414-97e81c RELAX U=4.0,16e84865-80f0-4da3-a667-40b76ce17b33
53,69aece,Li6FeS3O,0.07112527636363275,Li2FeSO+Li2S,0.05897806522727311,FeO+Li2S,d6336e33-a44e-4e45-88b4-fd05e03ed3f2,pbe,-4.444475460454545,47b3eb90-a4a2-46d5-9422-0ba1a9fad59f,d6336e33-a44e-4e45-88b4-fd05e03ed3f2,LFSO-Li6FeS3O-200910-031323-69aece RELAX U=4.0,48cb577a-57b6-4b99-b634-c007aa54afe8
54,2ad8a4,Li6FeS3O,0.0745481168181783,Li2FeSO+Li2S,0.062400905681818664,FeO+Li2S,862603f2-1b30-44b7-a157-b1b0e8e67c22,pbe,-4.44105262,7cb660c6-79ed-4376-a44a-f3dd7107e6d0,862603f2-1b30-44b7-a157-b1b0e8e67c22,LFSO-Li6FeS3O-200910-010757-2ad8a4 RELAX U=4.0,f22701e4-798f-4a3a-bb07-168af7ce463e
55,24378f,Li6FeSO3,0.04629965613636333,Li2O+Li2FeO2+Li2S,0.04629965613636333,Li2FeO2+Li2O+Li2S,a02ecb2b-3864-46d8-8721-c063360f9958,pbe,-4.915208826363636,32b69034-22a9-4e73-a2f8-73b481029faf,a02ecb2b-3864-46d8-8721-c063360f9958,LFSO-Li6FeSO3-200909-224307-24378f RELAX U=4.0,28e82ccf-acd8-45a2-bceb-7e00e427dea6
56,b4ea6d,Li6FeSO3,0.05857993249999982,Li2O+Li2FeO2+Li2S,0.05857993249999982,Li2FeO2+Li2O+Li2S,011ba0ec-f2e5-47a5-b6bb-fbd3aa1683bd,pbe,-4.9029285499999995,27f65efe-2b2b-41e3-8cd4-f8033f07657b,011ba0ec-f2e5-47a5-b6bb-fbd3aa1683bd,LFSO-Li6FeSO3-201028-041710-b4ea6d RELAX U=4.0,b01f9506-1623-435d-b15a-c85ded48e7b9
57,6e7f41,Li6FeSO3,0.07864001886363514,Li2O+Li2FeO2+Li2S,0.07864001886363514,Li2FeO2+Li2O+Li2S,b834f66e-3316-47b6-bb40-cc41206900da,pbe,-4.882868463636364,b2c640f0-83a2-4c3b-bcda-b080d0bb3560,b834f66e-3316-47b6-bb40-cc41206900da,LFSO-Li6FeSO3-200909-230851-6e7f41 RELAX U=4.0,64a02b64-16f1-4d3f-a6a7-51df4d60f0a8
58,f0ab3f,Li6FeSO3,0.07959102977272625,Li2O+Li2FeO2+Li2S,0.07959102977272625,Li2FeO2+Li2O+Li2S,ba3de23f-573d-40e4-8146-8c723482485a,pbe,-4.881917452727273,affe8063-4520-4c3e-b51f-4babe513bf4b,ba3de23f-573d-40e4-8146-8c723482485a,LFSO-Li6FeSO3-200909-223447-f0ab3f RELAX U=4.0,2771b7dd-3c8a-45c0-a67c-257518c0c10f
59,3e7b04,Li6FeSO3,0.07960995704545404,Li2O+Li2FeO2+Li2S,0.07960995704545404,Li2FeO2+Li2O+Li2S,33463133-d19f-4ca1-aeb0-6db4ee525b00,pbe,-4.881898525454545,542786c5-cd19-4948-9583-ef6c6c755b95,33463133-d19f-4ca1-aeb0-6db4ee525b00,LFSO-Li6FeSO3-201028-062906-3e7b04 RELAX U=4.0,2ca8509c-40af-4dec-8911-64e51bf68f97
